New ID,OLD ID Number,Title,Description,Architect,Date,Type,Notes
46-65,51,Veblen Farmstead,"House Restoration, First Floor Plan, Second Floor Plan",Sovik Mathre Sathrum Quanbeck Schlink Architects,10/14/1993; 10/20/1993,Drawing,
46-65,52,Veblen Farmstead,"House Restoration; North, West, East, and South Elevations",Sovik Mathre Sathrum Quanbeck Schlink Architects,9/28/1992; 3/10/1993,Drawing,
46-65,53,Veblen Farmstead,"House Restoration, Sections and Details",Sovik Mathre Sathrum Quanbeck Schlink Architects,10/14/1993; 10/20/1993,Drawing,
46-65,54,Veblen Farmstead,"House Restoration, Sections and Details",Sovik Mathre Sathrum Quanbeck Schlink Architects,1993-10-26,Drawing,
46-65,55,Veblen Farmstead,"House Restoration, Porch Details",Sovik Mathre Sathrum Quanbeck Schlink Architects,1994-03-24,Drawing,
46-65,56,Veblen Farmstead,"House Restoration, Kitchen and Pantry Details",Sovik Mathre Sathrum Quanbeck Schlink Architects,1994-04-18,Drawing,
46-65,57,Veblen Farmstead,"House Restoration, Bathroom and Mudroom Details",Sovik Mathre Sathrum Quanbeck Schlink Architects,1994-04-18,Drawing,
46-65,58,Veblen Farmstead,"Historic Structure Report, Barn Basement Plan",SMSQ Architects,2011-06-30,Drawing,
46-65,59,Veblen Farmstead,"Historic Structure Report, Barn First Floor Plan",SMSQ Architects,2011-06-30,Drawing,
46-65,60,Veblen Farmstead,"Historic Structure Report, Barn North and West Sections",SMSQ Architects,2011-06-30,Drawing,
46-65,61,Veblen Farmstead,"Historic Structure Report, Barn North Elevation",SMSQ Architects,2011-06-30,Drawing,
46-65,62,Veblen Farmstead,"Historic Structure Report, Barn West Elevation",SMSQ Architects,2011-06-30,Drawing,
46-65,63,Veblen Farmstead,"Historic Structure Report, Barn South Elevation",SMSQ Architects,2011-06-30,Drawing,
46-65,64,Veblen Farmstead,"Historic Structure Report, Barn East Elevation",SMSQ Architects,2011-06-30,Drawing,
46-65,65,Veblen Farmstead,"Historic Structure Report, Granary Sections and Elevations",SMSQ Architects,2011-06-30,Drawing,
66-79,66,Olin Hall,Ground Floor Plan Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,67,Olin Hall,First Floor Plan West Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,68,Olin Hall,First Floor Plan East Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,69,Olin Hall,Second Floor Plan West Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,70,Olin Hall,Second Floor Plan East Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,71,Olin Hall,Third Floor Plan West Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,72,Olin Hall,Third Floor Plan East Laboratory Furnishings,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,73,Olin Hall,Ground Floor Plan Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,74,Olin Hall,First Floor Plan West Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,75,Olin Hall,First Floor Plan East Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,76,Olin Hall,Second Floor Plan West Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,77,Olin Hall,Second Floor Plan East Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,78,Olin Hall,Third Floor Plan West Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
66-79,79,Olin Hall,Third Floor Plan East Laboratory Electrical,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",6/2/1995; 2/1/1996,Drawing,
80-89,80,Olin and Mudd Halls Renovation,Olin Ground Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,81,Olin and Mudd Halls Renovation,Olin First Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,82,Olin and Mudd Halls Renovation,Olin Second Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,83,Olin and Mudd Halls Renovation,Olin Third Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,84,Olin and Mudd Halls Renovation,Mudd Basement Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,85,Olin and Mudd Halls Renovation,Mudd Ground Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,86,Olin and Mudd Halls Renovation,Mudd First Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,87,Olin and Mudd Halls Renovation,Mudd Second Floor Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
80-89,88,Olin and Mudd Halls Renovation,Mudd Penthouse Systems Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1994-01-07,Drawing,
240-251,240,New Science Facility,Basement Floor Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,241,New Science Facility,Ground Floor Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",,Drawing,excel changed these dates - should be 1993
240-251,242,New Science Facility,First Floor Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",,Drawing,excel changed these dates - should be 1993
240-251,243,New Science Facility,Second Floor Plan,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",,Drawing,excel changed these dates - should be 1993
240-251,244,New Science Facility,Basement Floor Plan - North,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,245,New Science Facility,Basement Floor Plan - South,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,246,New Science Facility,Ground Floor Plan - North,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,247,New Science Facility,Ground Floor Plan - South,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,248,New Science Facility,First Floor Plan - North,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,249,New Science Facility,First Floor Plan - South,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,250,New Science Facility,Second Floor Plan - North,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
240-251,251,New Science Facility,Second Floor Plan - South,"The Stubbins Architects; Rafferty Rafferty Tollefson Architects, Inc.",1993-05-15,Drawing,
800-801,800,First Street Project,Partial Level Two Floor Plan,Brook Design Associates,1991-06-11,Drawing,
800-801,801,First Street Project,Partial Level One Floor Plan,Brook Design Associates,1992-02-05,Drawing,
802-804,802,First Street Project,Basement Plan - Power and Signal,Brook Design Associates,1991-10-17,Drawing,
802-804,803,First Street Project,First Floor Plan - Power and Signal,Brook Design Associates,1991-10-17,Drawing,
802-804,804,First Street Project,Second Floor Plan - Power and Signal,Brook Design Associates,1991-10-17,Drawing,
805-807,805,First Street Project,Basement Plan - Power and Signal,Brook Design Associates,1991-10-17,Drawing,
805-807,806,First Street Project,First Floor Plan - Power and Signal,Brook Design Associates,1991-10-17,Drawing,
805-807,807,First Street Project,Second Floor Plan - Power and Signal,Brook Design Associates,1991-10-17,Drawing,
900-903,900,Math and Computing,Lower Level Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
900-903,901,Math and Computing,Level 1 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
900-903,902,Math and Computing,Level 2 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
900-903,903,Math and Computing,Level 3 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
904-907,904,Math and Computing,Lower Level Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
904-907,905,Math and Computing,Level 1 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
904-907,906,Math and Computing,Level 2 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
904-907,907,Math and Computing,Level 3 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
908-911,908,Math and Computing,Lower Level Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
908-911,909,Math and Computing,Level 1 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
908-911,910,Math and Computing,Level 2 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
908-911,911,Math and Computing,Level 3 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,912,Math and Computing,Lower Level Floor Plan Power,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,913,Math and Computing,Level One Floor Plan Power,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,914,Math and Computing,Second Level Floor Plan Power,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,915,Math and Computing,Third Level Floor Plan Power,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,916,Math and Computing,Lower Level Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,917,Math and Computing,Level 1 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,918,Math and Computing,Level 2 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,919,Math and Computing,Level 3 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,920,Math and Computing,Lower Level Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,921,Math and Computing,Level 1 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,922,Math and Computing,Level 2 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,923,Math and Computing,Level 3 Floor Plan,"Cambridge Seven Associates, Inc.",,Drawing,
912-928,924,Math and Computing,Part Plans,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,925,Math and Computing,Fire Alarm & Tel/Data Riser Diagrams,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,926,Math and Computing,Level 1 Cellular Floor Plan,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,927,Math and Computing,Level 2 Cellular Floor Plan,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
912-928,928,Math and Computing,Level 3 Cellular Floor Plans,"Cambridge Seven Associates, Inc.",5/11/1992; 10/8/1992,Drawing,
935-937,935,Musser Hall Remodel,Basement Floor Plan,Prairie Creek Architects,4/23/1993; 5/24/1993,Drawing,
935-937,936,Musser Hall Remodel,Ground Floor Plan,Prairie Creek Architects,4/23/1993; 5/24/1993,Drawing,
935-937,937,Musser Hall Remodel,"Dorm Floors 2, 3, & 4",Prairie Creek Architects,4/23/1993; 5/24/1993,Drawing,
938-954,938,Dormitory Access Control,"Burton/Severance Basement, Davis/Burton/Severance Ground Floor",SMSQ Architects,1996-06-18,Drawing,
938-954,939,Dormitory Access Control,"Davis/Burton/Severance First Floor, Severance Second and Third Floors, Section and Detail",SMSQ Architects,1996-06-18,Drawing,
938-954,940,Dormitory Access Control,"Musser Basement and First Floor, Myers Basement and First Floor, Nourse Basement and First Floor",SMSQ Architects,1996-06-18,Drawing,
938-954,941,Dormitory Access Control,"Evans Basement, Ground, and First Floors; Parish Basement, First, Second, and Third Floors",SMSQ Architects,1996-06-18,Drawing,
938-954,942,Dormitory Access Control,"Goodhue Basement and First Floor, Watson Basement and First Floor",SMSQ Architects,1996-06-18,Drawing,
938-954,943,Dormitory Access Control,Door Schedule,SMSQ Architects,1996-06-18,List,
938-954,944,Dormitory Access Control,Plan/Section Details,SMSQ Architects,1996-06-18,Drawing,
938-954,945,Dormitory Access Control,Plan/Section/Door Details,SMSQ Architects,1996-06-18,Drawing,
938-954,946,Access Control Project,Legend and Notes,Campus Crime Prevention Programs,2/26/1996; 3/14/1996; 4/2/1996; 4/21/1996; 5/6/1996; 5/13/1996,List,
938-954,947,Access Control Project,Control System One Line,Campus Crime Prevention Programs,2/5/1996; 3/14/1996; 6/6/1996,Drawing,
938-954,948,Access Control Project,Diagrams,Campus Crime Prevention Programs,2/26/1996; 4/20/1996; 5/13/1996; 6/6/1996,Drawing,
938-954,949,Access Control Project,Panel Diagrams,Campus Crime Prevention Programs,4/21/1996; 5/14/1996,Drawing,
938-954,950,Dormitory Access Control,"Basement - Burton/Severance, Ground Floor - Davis/Burton/Severance",SMSQ Architects,1996-06-18,Drawing,
938-954,951,Dormitory Access Control,"First Floor - Davis/Burton/Severance, First Floor - Severance, Second Floor - Severance",SMSQ Architects,1996-06-18,Drawing,
938-954,952,Dormitory Access Control,"Basement and First Floor - Musser, Basement and First Floor - Myers, Basement and First Floor - Nourse",SMSQ Architects,1996-06-18,Drawing,
938-954,953,Dormitory Access Control,"Basement, Ground, and First Floors - Evans; Basement, First, Second, and Third Floors - Parish",SMSQ Architects,1996-06-18,Drawing,
938-954,954,Dormitory Access Control,"Basement and First Floor - Goodhue, Basement and First Floor - Watson",SMSQ Architects,1996-06-18,Drawing,
955,955,Men's Dormitory,Electrical Riser Diagrams,Minoru Yamasaki and Associates,1961-05-01,Drawing,
956-957,956,Sayles Hill Balcony,Smoking Room - Existing Floor Plan,,2004-03-09,Drawing,
956-957,957,Sayles Hill Balcony,Proposed Computer Lab in Current Smoking Room,,c. 2004,Drawing,unlabeled - not positive this is accurate
958-959,958,Learning & Teaching Center,"Proposed Locations for Computers, Phones",,,Drawing,
958-959,959,Business Office,Floor Plan,,c. 2004,Drawing,
960-963,960,Leighton Hall,Business Office Floor Plan,Hardginski Planning and Design,1995-04-11,Drawing,
960-963,961,Leighton Hall,Business Office Floor Plan,Hardginski Planning and Design,c. 1995,Drawing,
960-963,962,Leighton Business Office,Retain Existing Circuiting These Rms,,,Drawing,
960-963,963,Leighton Hall,Fourth Floor Electrical Power/Signal Plan,"Hammel Green & Abrahamson, Inc.",2002-03-01,Drawing,
964,964,Campus,Utility Lines,,,Drawing/Map,unlabeled - not positive this is accurate
965-972,965,Boliou Fine Arts Addition,"Symbol Schedule, Drawing Schedule, Phase One","Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,List,
965-972,966,Boliou Fine Arts Addition,Ground Floor Demolition Plan Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
965-972,967,Boliou Fine Arts Addition,First Floor Demolition Plan Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
965-972,968,Boliou Fine Arts Addition,Ground Floor Lighting Plan Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
965-972,969,Boliou Fine Arts Addition,Ground Floor Power Plan Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
965-972,970,Boliou Fine Arts Addition,First Floor Lighting Plan Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
965-972,971,Boliou Fine Arts Addition,First Floor Power Plan Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
965-972,972,Boliou Fine Arts Addition,Riser Diagram Phase One,"Michaud Cooley Erickson & Associates, Inc.; Cambridge Seven Associates, Inc.",1992-02-21,Drawing,
973-974,973,Boliou Fine Arts,Ground Floor Power and Systems Plan Phase Two,Michaud Cooley Erickson,2/1/1995; 5/11/1995,Drawing,
973-974,974,Boliou Fine Arts,First Floor Power and Systems Plan Phase Two,Michaud Cooley Erickson,2/1/1995; 5/11/1995,Drawing,
975-1024,975,Boliou Fine Arts,"Phase Two Site Plan, Index",SMSQ Architects,1/9/1995; 2/1/1995,Drawing/List,
975-1024,976,Boliou Fine Arts,Phase Two Ground Floor Demolition,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,977,Boliou Fine Arts,Phase Two First Floor Demolition,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,978,Boliou Fine Arts,Phase Two Ground Floor Plan,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,979,Boliou Fine Arts,Phase Two First Floor Plan,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,980,Boliou Fine Arts,"Phase Two Schedules, Doors & Frames",SMSQ Architects,1/9/1995; 2/1/1995,Drawing/List,
975-1024,981,Boliou Fine Arts,"Phase Two Roof Plan, Details, Door Details",SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,982,Boliou Fine Arts,"Phase Two Exterior Elevation, 1/8"" Sections",SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,983,Boliou Fine Arts,Phase Two Wall Sections,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,984,Boliou Fine Arts,"Phase Two Window Elevations, Details",SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,985,Boliou Fine Arts,"Phase Two Stair Sections, Enclosure",SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,986,Boliou Fine Arts,Phase Two Interior Wall Elevations,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,987,Boliou Fine Arts,"Phase Two Interior Wall Elevations, Millwork Details",SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,988,Boliou Fine Arts,Phase Two Interior Wall Elevations,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,989,Boliou Fine Arts,Phase Two Photo Lab Plan & Interior Elevations,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,990,Boliou Fine Arts,Phase Two Photo Lab Schedules & Interior Elevations,SMSQ Architects,1/9/1995; 2/1/1995,Drawing/List,
975-1024,991,Boliou Fine Arts,Phase Two Ground Floor Reflective Ceiling Plan,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,992,Boliou Fine Arts,Phase Two First Floor Reflective Ceiling Plan,SMSQ Architects,1/9/1995; 2/1/1995,Drawing,
975-1024,993,Boliou Fine Arts,Phase 2 Foundation Plan,"Meyer, Borgman & Johnson Inc.",1995-02-01,Drawing,
975-1024,994,Boliou Fine Arts,Phase 2 First Floor Framing Plan,"Meyer, Borgman & Johnson Inc.",1995-02-01,Drawing,
975-1024,995,Boliou Fine Arts,Phase 2 Roof Framing Plan,"Meyer, Borgman & Johnson Inc.",1995-02-01,Drawing,
975-1024,996,Boliou Fine Arts,Phase 2 Structural Details,"Meyer, Borgman & Johnson Inc.",2/1/1995; 5/1/1992,Drawing,
975-1024,997,Boliou Fine Arts,Phase 2 Structural Details,"Meyer, Borgman & Johnson Inc.",2/1/1995; 5/1/1992,Drawing,
975-1024,998,Boliou Fine Arts,Phase 2 Structural Details,"Meyer, Borgman & Johnson Inc.",2/1/1995; 5/1/1992,Drawing,
975-1024,999,Boliou Fine Arts,Symbol Schedule and Drawing Index Phase Two,Michaud Cooley Erickson,1995-02-01,List,
975-1024,1000,Boliou Fine Arts,Site Plan Details Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
975-1024,1001,Boliou Fine Arts,Ground Floor Plumbing Demolition Plan Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
975-1024,1002,Boliou Fine Arts,First Floor Plumbing Demolition Plan Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
975-1024,1003,Boliou Fine Arts,Ground Floor HVAC Demolition Plan Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
975-1024,1004,Boliou Fine Arts,First Floor HVAC Demolition Plan Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
975-1024,1005,Boliou Fine Arts,Ground Floor Plumbing Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
975-1024,1006,Boliou Fine Arts,First Floor Plumbing Phase Two,Michaud Cooley Erickson,1995-02-01,Drawing,
