Page,Pageviews,Unique Pageviews,Title,InclusiveDates,Scope,Avg. Time on Page,Entrances,% Exit
/index.php?p=collections/controlcard&id=113&q=voice,13,12,"Carleton Voice, The",1910-,"Since 1910, Carleton has published a regular alumni magazine containing news about the college and alumni activities, feature articles, and alumni class notes. Digital collection includes images of each issue with searchable text. Titles included are Alumni Magazine (1910-1916), Carleton College News Bulletin (1918-1925), Carleton Circle (1925-1932), Voice of the Carleton Alumni (1935-1970), Carleton, the Voice of the Alumni (1970-1973), and Carleton College Voice (1974-present.) Recent issues of the Voice are also available on [url=http://apps.carleton.edu/voice/]the Voice web site[/url].
	A full text searchable database of archived voice issues can be found here:
	[url=http://apps.carleton.edu/digitalcollections/Voice/]http://apps.carleton.edu/digitalcollections/Voice/[/url]",0:05:45,3,61.54%
/index.php?p=collections/controlcard&id=2785,14,12,Photographic Prints -- Individual STAFF,Circa 1866 to present,NULL,0:04:20,0,14.29%
/?p=collections/controlcard&id=271,16,11,Carleton Literary Association Paper (CLAP),2002-2016,A student-produced literary magazine. The CLAP publishes anything submitted to its editors as long as it is attributed to an identifiable person.,0:00:10,11,56.25%
/?p=collections/controlcard&id=2878,16,11,Publications photographs,1999-2012,"Photographs of campus events, buildings, faculty, staff and students for publication in college materials.",0:00:23,0,0.00%
/index.php?p=collections/controlcard&id=2690,19,11,Dean of Students' Office Records,NULL,NULL,0:04:42,0,21.05%
/index.php?p=collections/controlcard&id=2808,17,11,Publications Office Records,1886; 1934-1983,"The Office of Publication was established in 1925 to oversee the various campus publications, including the catalog, campus directories, illustrated brochures, and a host of college events, departmental pamphlets, and lectures in booklet form.  The office later assumed reponsibility for the alumni magazine, [i]The Voice[/i].  The collection contains files from the editors Ralph L. Henry, 1928-61, and Beatrice Wardell, 1960-65.  Some publications material which predates creation of the office is also included.
	This collection came to the Archives in good condition.  Most of the original folders and labels have been preserved; in processing we merely arranged the folders into a more coherent order.  The first three series deal with the workings of the office:  annual reports, correspondence, printing procedures and costs, awards, covers, and the like.  The fourth series contains a lot of material on alumni and their various associations:  because the office published [i]The Voice[/i] it was intimately involved with the alumni.  The rest of the series, the bulk of the collection, contains topical folders into which [i]Voice[/i] articles on the specific subject have been placed.  This material makes the collection an extremely useful place to start research into any subject during the 1960s and early 1970s.
	These topical folders contain many interesting subjects.  The Phi Beta Kappa folders in the Honor Societies Series contain our most extensive record to date of this society.  The folder on Minoru Yamasaki, Campus Architect, in the Buildings and Grounds Series, has many articles on the world-renowned Artist.  And the computing folder in the Topical File Series records the introduction of the new technology to the campus.  Also of interest to anyone wishing to document the changes our society has made with repect to women is the folder on the Minneapolis Star Journal and Tribune photo-essay entitled \Beauty on the Campus\"" in the Correspondence Series.",0:04:25,0,23.53%
/index.php?p=collections/controlcard&id=2833,15,11,Thorstein B. Veblen Collection,NULL,"Material centered around the figure of Thorstein Bunde Veblen, economist, social scientist, writer of international reputation, and a member of Carleton's graduating class of 1880.  Material regarding Thorstein Veblen's adult families:  his first wife, Ellen Rolfe Veblen, his second wife, Ann Fessenden Bradley (Bevans) Veblen, and his two step-daughters by his second marriage, all of which will be of interest to any biographer of Thorstein B. Veblen, is also to be found in this collection.",0:05:12,6,53.33%
/?p=collections/controlcard&id=2670,12,10,Carleton scrapbooks and photo albums,1879 - 1988,"Individual and organizational scrapbooks, containing mostly clippings, but also photos, programs, booklets, drawings, invitations, records, correspondence, postcards, dance cards, receipts, and memorabilia.  Topics include athletics, oratory, literary societies, drama, musical groups, graduation and awards, dances and entertainment, clubs, religious activities, professors.  Scrapbooks of organizations are listed in the contents lists for that organization's record group, if any.  For some organizations, the only organized material in the archives is the scrapbook listed here.",0:09:19,4,41.67%
/?p=collections/controlcard&id=2754,10,10,Merrill E. Jarchow Papers,NULL,"Merrill E. Jarchow papers; material re Cowling Biography. Additional Note: Including extensive correspondence with Luther Weigle and Mary Ellen Guice. Also includes one letter dating April 9, 1984 from Jarchow to Maggie Lee regarding the new Larry Gould edition of Cold.",0:00:52,7,50.00%
/?p=collections/controlcard&id=2937,10,10,No Fidelity,NULL,"News and commentary magazine on music primarily by staff from the Carleton Cave and the Carleton radion station KRLX, but contributions are accepted from other sources at Carleton.",0:00:38,8,70.00%
/index.php?p=collections/controlcard&id=2827,12,10,Student Transcripts,1867-,"Original transcripts of students attending Carleton College, its related preparatory department/academy, the music program/conservatory program, academic prizes and awards granted to students.",0:11:42,1,25.00%
/index.php?p=collections/controlcard&id=94&q=catalog,12,10,Annual Academic Catalogs,1868-2008,"Catalogs of all courses taught at Carleton College as well as other academic information about the college.
	Depending on the period of publication, can include:
	- Academic calendars.
	- Directory information on faculty, staff and departments
	- Program and academic departmental descriptions.
	- Rules, regulations, guidelines of the college.
	- Requirements for admission and graduation.
	- Extra curricular activities such as clubs and athletics.
	- Health services.
	Set #1 consists of the following:
	    1      Jul 1868            The First Annual Catalogue of Northfield College
	    2      Jun 1869           The Second Annual Catalogue of Northfield College
	    3      Jun 1870           The Third Annual Catalogue of Northfield College
	    4      [1871]   The Fourth Annual Catalogue of Carleton College
	    5      Dec 1872          Fifth Annual Catalogue of the Officers and Students of Carleton College
	    6      [1873]   Annual Catalogue [...], For the Academic Year 1872-73
	    7      Jun 1874           Annual Catalogue [...], For the Academic Year 1873-74
	    8      Jun 1875           Annual Catalogue [...], For the Academic Year 1874-75
	    9      Jun 1876           Annual Catalogue [...], For the Academic Year 1875-6
	  10       May 1877          Annual Catalogue [...], For the Academic Year 1876-7
	  11       Jun 1878           Annual Catalogue [...], For the Academic Year 1877-8
	  12       Jun 1879           Annual Catalogue [...], For the Academic Year 1878-9
	  13       Jun 1880           Annual Catalogue [...], For the Academic Year 1879-80
	  14       Jun 1881           Annual Catalogue [...], For the Academic Year 1880-81
	  15       May 1882          Annual Catalogue [...], For the Academic Year 1881-82
	  16       May 1883          Annual Catalogue [...], For the Academic Year 1882-83
	  17       Jun 1884           Annual Catalogue [...], For the Academic Year 1883-84
	  18       May 1885          Annual Catalogue [...], For the Academic Year 1884-85
	  19       May 1886          Annual Catalogue [...], For the Academic Year 1885-86
	  20       Apr 1887           Annual Catalogue [...], For the Academic Year 1886-87
	  21       Apr 1888           Annual Catalogue [...], For the Academic Year 1887-88
	  22       Apr 1889           Annual Catalogue [...], For the Academic Year 1888-89
	  23       May 1890          Annual Catalogue [...], For the Academic Year 1889-90
	  24       May 1891          Catalogue of Carleton College For the Academic Year 1890-91. With Announcements for the Year 1891-92.
	  25       May 1892          Catalogue [...] 1891-92.  With Announcements [...] 1892-93.
	  26       May 1893          Catalogue [...] 1892-93.  With Announcements [...] 1893-94.
	  27       May 1894          Catalogue [...] 1893-94.  With Announcements [...] 1894-95.
	  28       Apr 1895           Catalogue [...] 1894-95.  With Announcements [...] 1895-96.
	  29       [1896]   Catalogue [...] Ending June, 1896.  With Announcements [...] 1896-97.
	  30       Jan 1897           Carleton College.  Information and Announcements.
	  30       [1897]   Catalogue of Carleton College For the Academic Year 1896-97. With Announcements for the Year 1897-98.
	  31       [1898]   Catalogue [...] 1897-98.  With Announcements [...] 1898-99.
	  32       May 1899          Catalogue [...] 1898-99.  With Announcements [...] 1899-1900.
	  33       Apr 1900           Catalogue [...] 1899-1900.  With Announcements [...] 1900-1901.
	  34       Apr 1901           Catalogue [...] 1900-1901.  With Announcements [...] 1901-1902.
	  35       Apr 1902           Catalogue [...] 1901-1902 / With Announcements [...] 1902-1903
	  36       Apr 1903           Catalogue [...] 1902-1903 / With Announcements [...] 1903-1904
	  37       Apr 1904           Catalog [...] 1903-1904 / With Announcements [...] 1904-1905
	  38       Mar 1905           Catalog [...] 1904-1905 / With Announcements [...] 1905-1906
	  39       Mar 1906           Catalog [...] 1905-1906 / With Announcements [...] 1906-1907
	  40       Mar 1907           Catalog [...] 1906-1907 / With Announcements [...] 1907-1908
	  41       Mar 1908           Catalog [...] 1907-1908 / With Announcements [...] 1908-1909
	  42       Mar 1909           Catalog [...] 1908-1909 / With Announcements [...] 1909-1910
	  43       Mar 1910           Catalogue Carleton College [...] 1909-1910 / With Announcements [...] 1910-1911
	  44       Mar 1911           Catalogue [...] 1910-1911 / With Announcements [...] 1911-1912
	  45       Mar 1912           Catalogue [...] 1911-1912 / With Announcements [...] 1912-1913
	  46       Mar 1913           Catalogue [...] 1912-1913 / With Announcements [...] 1913-1914
	  47       Mar 1914           Forty-Seventh Annual Catalogue of Carleton College / For the Academic Year 1913-                                             1914
	            Apr 1914           Announcement of the Courses Offered in 1914-15  (Bulletin Vol. X, No. 3--Extra)
	  48       Mar 1915           Forty-Eighth Annual Catalogue of Carleton College / For the Academic Year 1914-1915
	            Mar 1915           Announcement of the Courses Offered in 1915-16  (Bulletin Vol. XI, No. 3--Extra)
	  49       Mar 1916           Forty-Ninth Annual Catalog of Carleton College / For the Academic Year 1915-1916
	            Mar 1916           Announcement of the Courses Offered in 1916-17  (Bulletin Vol. XII, No. 3--Extra)
	  50       Mar 1917           Fiftieth Annual Catalog of Carleton College / For the Academic Year 1916-1917
	  51       Mar 1918           Fifty-first [...] 1917-1918
	  52       Mar 1919           Fifty-Second [...] 1918-1919
	  53       Mar 1920           Fifty-Third [...] 1919-1920
	  54       Mar 1921           Fifty-Fourth Annual Catalog of Carleton College / A Record of the Work Done in the Academic Year 1920-1921, Together with Announcements for 1921-1922
	  55       Mar 1922           Fifty Fifth Annual Catalog of Carleton College / A Record of the Academic Year 1921-1922 with Announcements for 1922-1923
	  56       Mar 1923           Fifty-Sixth [...] 1922-1923 with Announcements for 1923-1924
	  57       Mar 1924           Fifty-Seventh [...] 1923-1924 with Announcements for 1924-1925
	  58       Mar 1925           Fifty-Eighth [...] 1924-1925 with Announcements for 1925-1926
	  59       [1926]   Fifty-Ninth [...] 1925-1926 with Announcements for 1926-1927
	  60       [1927]   Sixtieth [...] 1926-1927 with Announcements for 1927-1928
	  61       [1928]   Sixty-First [...] 1927-1928 with Announcements for 1928-1929
	  62       [1929]   Carleton College Bulletin / Sixty-Second Annual Catalog Number / A Record of the Academic Year 1928-1929 with Announcements for the Year 1929-1930
	  63       Mar 1930           Carleton [...] / Sixty-Third [...] 1929-1930 with Announcements [...] 1930-1931
	  64       Mar 1931           Carleton [...] / Sixty-Fourth [...] 1930-1931 with Announcements [...] 1931-1932
	  65       Mar 1932           Carleton [...] / Sixty-Fifth [...] 1931-1932 with Announcements [...] 1932-1933
	  66       Mar 1933           Carleton [...] / Sixty-Sixth [...] 1932-1933 with Announcements [...] 1933-1934
	  67       Mar 1934           Carleton [...] / Sixty-Seventh [...] 1933-1934 with Announcements [...] 1934-1935
	  68       Mar 1935           Carleton [...] / Sixty-Eighth [...] 1934-1935 with Announcements [...] 1935-1936
	  69       Mar 1936           Carleton [...] / Sixty-Ninth [...] 1935-1936 with Announcements [...] 1936-1937
	  70       Mar 1937           Carleton [...] / Seventieth [...] 1936-1937 with Announcements [...] 1937-1938
	  71       Mar 1938           Carleton [...] / Seventy-First [...] 1937-1938 with Announcements [...] 1938-1939
	  72       Mar 1939           Carleton [...] / Seventy-Second [...] 1938-1939 with Announcements [...] 1939-1940
	  73       Mar 1940           Carleton [...] / Seventy-Third [...] 1939-1940 with Announcements [...] 1940-1941
	  74       Mar 1941           Carleton [...] / Seventy-Fourth [...] 1940-1941 with Announcements [...] 1941-1942
	  75       Mar 1942           Carleton [...] / Seventy-Fifth Annual Catalog Number
	  76       Mar 1943           Carleton [...] / Seventy-Sixth Annual Catalog Number
	  77       Mar 1944           Carleton [...] / Seventy-Seventh Annual Catalog Number
	  78       Mar 1945           Carleton [...] / Seventy-Eighth Annual Catalog Number
	  79       Mar 1946           Carleton [...] / Seventy-Ninth Annual Catalog Number
	  80       Mar 1947           Carleton [...] / Eightieth Annual Catalog Number
	  81       Mar 1948           Carleton [...] / Eighty-First Annual Catalog Number
	  82       Mar 1949           Carleton [...] / Eighty-Second Annual Catalog Number
	  83       Mar 1950           Carleton [...] / Eighty-Third Annual Catalog Number
	  84       Mar 1951           Carleton [...] / Eighty-Fourth Annual Catalog Number
	  85       Mar 1952           Carleton [...] / Eighty-Fifth Annual Catalog Number
	  86       Mar 1953           Carleton [...] / Eighty-Sixth Annual Catalog Number
	  87       Mar 1954           Carleton [...] / Eighty-Seventh Annual Catalog Number
	  88       Mar 1955           Carleton [...] / Eighty-Eighth Annual Catalog Number
	  89       Mar 1956           Carleton [...] / Eighty-Ninth Annual Catalog Number
	  90       Mar 1957           Carleton [...] / Ninetieth Annual Catalog Number
	  91       Mar 1958           Carleton [...] / Ninety-First Annual Catalog Number
	  92       Mar 1959           Carleton [...] / Ninety-Second Annual Catalog Number
	  93       Mar 1960           Carleton [...] / Ninety-Third Annual Catalog Number
	  94       Mar 1961           Carleton [...] / Ninety-Fourth Annual Catalog Number
	            Mar 1961           Carleton [...] / Ninety-Fourth Annual Catalog Number (Special Edition)
	  95       Mar 1962           Carleton [...] / Ninety-Fifth Annual Catalog Number
	  96       Mar 1963           Carleton [...] / Ninety-Sixth Annual Catalog Number
	  97       Mar 1964           Carleton College Catalog / Ninety-Seventh Annual Catalog Number
	  98       Mar 1965           Carleton College Catalog / Ninety-Eighth Annual Edition
	  99       Mar 1966           Carleton College Catalog / Ninety-Ninth Annual Edition
	100       Mar 1967           One Hundredth Annual Edition of the Carleton College Catalog
	101       Jun 1968           One Hundred and First [...]  (A record of the academic year 1967-68)
	102       Jul 1968            One Hundred and Second [...]  (Information on the college year 1968-69)
	103       Jul 1969            One Hundred and Third [...]
	104       Jul 1970            [Supplement to the 1969 edition of the Carleton Catalog]
	105       Aug 1971          Carleton College Catalog / One Hundred and Fifth Annual Edition
	106       Aug 1972          Carleton College Catalog / One Hundred and Sixth Annual Edition
	107       Aug 1973          Carleton College Catalog / One Hundred and Seventh Annual Edition
	108       Aug 1974          Carleton College Catalog / One Hundred and Eighth Annual Edition
	109       Aug 1975          Carleton College Catalog / One Hundred and Ninth Annual Edition
	110       Aug 1976          Carleton College Catalog / One Hundred and Tenth Annual Edition
	111       Aug 1977          Carleton College Catalog / One Hundred and Eleventh Annual Edition
	112       Sep 1978          Carleton College Academic Catalog 1978-79 (112th Annual Edition)
	113       Aug 1979          Carleton College Academic Catalog 1979-80 (113th Annual Edition)
	114       1980                 Carleton College Academic Catalog 1980-81
	115       1981                 Carleton College Academic Catalog 1981-82
	116       1982                 Carleton College Academic Catalog 1982-83
	117       1983                 Carleton College Academic Catalog 1983-84
	118       1984                 Carleton College Academic Catalog 1984-85
	119       1985                 Carleton College Academic Catalog 1985-86
	120       1986                 Carleton College Academic Catalog 1986-87
	121       1987                 Carleton College Academic Catalog 1987-88
	122       1988                 Carleton College Academic Catalog 1988-89
	123       1989                 Carleton College Academic Catalog 1989-90
	124       1990                 Carleton College Academic Catalog 1990-91
	125       1991                 Carleton College Academic Catalog 1991-92
	126       1992                 Carleton College Academic Catalog 1992-93
	127       1993                 Carleton College Academic Catalog 1993-94
	128       1994                 Carleton College Academic Catalog 1994-95
	129       1995                 Carleton College Academic Catalog 1995-96
	130       1996                 Carleton College Academic Catalog 1996-97
	131       1997                 Carleton College Academic Catalog 1997-98
	132       1998                 Carleton College Academic Catalog 1998-99
	133       1999                 Carleton College Academic Catalog 1999-00
	134       2000                 Carleton College Academic Catalog 2000-01
	135       2001                 Carleton College Academic Catalog 2001-02
	136       2002                 Carleton College Academic Catalog 2002-03
	137       2003                 Carleton College Academic Catalog 2003-04
	138       2004                 Carleton College Academic Catalog 2004-05
	139       2005                 Carleton College Academic Catalog 2005-06
	140       2006                 Carleton College Academic Catalog 2006-07
	141       2007                 Carleton College Academic Catalog 2007-08
	142       2008                 Carleton College Academic Catalog 2008-09
	(#s 1-3, and 7 are located only in bound volume \1868-1892\"")",0:03:30,0,41.67%
/index.php?p=collections/controlcard&id=2623,10,9,"Recordings, film reels",NULL,NULL,0:03:17,0,20.00%
/index.php?p=collections/controlcard&id=2722,10,9,Hughes Family Collection,NULL,NULL,0:02:10,3,40.00%
/index.php?p=collections/controlcard&id=2781,12,9,Photographic Prints -- Individual Alumni,Classes 1870 to present,NULL,0:02:14,0,8.33%
/index.php?p=collections/controlcard&id=2798,11,9,President's Office Records (Cowling),1909-1945,NULL,0:04:12,0,9.09%
/index.php?p=collections/controlcard&id=2938&q=special+events,12,9,Special Events Department recordings,1953-2013,"Recordings of events at Carleton College including convocation, inaugurations, reunions, ceremonies, alumni meetings, quarterly meetings, trustee meetings, lectures, student presentations and panel discussions.",0:07:30,0,41.67%
/index.php?p=collections/controlcard&id=271&q=clap,10,8,Carleton Literary Association Paper (CLAP),2002-2016,A student-produced literary magazine. The CLAP publishes anything submitted to its editors as long as it is attributed to an identifiable person.,0:05:22,1,40.00%
/index.php?p=collections/controlcard&id=2730,9,8,Interviews and oral histories (outside Carleton Oral History Program) Transcripts,NULL,Interviews and oral histories (outside Carleton Oral History Program) Transcripts,0:00:15,0,0.00%
/index.php?p=collections/controlcard&id=2838,10,8,Veblen Family Collection,NULL,"Material relating to Thomas A. and Kari Bunde Veblen and their family, exclusive of material focused primarily on their son Thorstein B. Veblen.  Thomas and Kari, who emigrated from Norway in 1847, had nine children who survived past childhood, and eight of these attended Carleton at one time or another.  Parts of this collection will also be of interest to a biographer of Thorstein B. Veblen, as well as to persons interested in other members of the family or in the family in general.",0:09:53,6,70.00%
/index.php?p=collections/controlcard&id=2852,8,8,Dean of the College's Office Records (McKinsey),1989-2002,"Records of the Dean of the College contain materials produced and amasssed during the operations of this Office.  Materials include information related to campus committees; Carleton's participation with regional, national, and international education-centered organizations; the Board of Trustees; scholarships, endowments, grants, and fellowships; campus committees; academic departments; faculty grant proposals; faculty recruitment; student services; and more.",0:01:22,0,12.50%
/index.php?p=collections/controlcard&id=2904&q=black+hole,11,8,Misc individual records - Black Hole.,NULL,Small miscellaneous records often given to the archives without clear context and little or no information on the donor. Frequently individual documents.,0:06:07,0,18.18%
/index.php?p=collections/controlcard&id=79,8,8,"Photographic Prints -- General, by Era",1909/10 to present,NULL,0:01:36,0,0.00%
/?p=accessions/accession&id=1711,7,7,Dean for Budget and Planning files,NULL,"Includes Carleton College Framework for Strategic Planning drafts1991, 1992; Financial Future of Carleton College, 1994; Report of the Calendar Committee, 1995;  President's Report to Alumni 1994/95; Carleton College Patent Policy; one folder containing A Guide to Minnesota's Charity Laws.",0:00:22,0,0.00%
/?p=collections/controlcard&id=231,9,7,Noon News Bulletin / N.N.B.,1963-,"Daily typescript sheet containing first news and editorials of campus and national events, then evolved into calendar of campus events and ephemeral messages (e.g., lost and found notices).
	Publicizes events, provides a forum for personal ads, and serves as a means for campus offices to relay information regarding their programs. The NNB is published by students three times per week during the term.",0:00:50,7,55.56%
/?p=collections/controlcard&id=2731,7,7,James Gillette Collection,1921-1938,"Arrangements and compositions by James Gillette, professor of Music and Director of the Carleton Symphony Band.  Also, a few scores by students.  Brief descriptive cards for each of the scores are filed together in Box 1, and serve as an index to the collection.",0:02:39,1,42.86%
/index.php?p=collections/controlcard&id=2657,9,7,Board of Trustees Minutes,1866-2011,"Board of Trustee minutes 1866-2011
	 ",0:04:10,0,22.22%
/index.php?p=collections/controlcard&id=2850,10,7,"Dean of the College's Office Records (Morgan, Sheridan)",1972-1979,NULL,0:03:02,0,10.00%
/?p=collections/controlcard&id=2845,9,6,William Harris Laird Papers,1889-1909,"Incomplete correspondence of the chairman of the Carleton Board of Trustees, primarily with presidents Strong, Sallmon, and Cowling, and treasurer Harlan W. Page.  Correspondence covers two presidential searches and includes frank expressions of opinion by faculty regarding candidates.  Arranged chronologically, with index to correspondents.",0:01:00,6,55.56%
/?p=collections/controlcard&id=79,7,6,"Photographic Prints -- General, by Era",1909/10 to present,NULL,0:00:16,0,28.57%
