Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/?p=collections/controlcard&id=2756,4,4,0:00:00,4,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=2763,3,2,0:00:08,1,100.00%,33.33%,$0.00 
/?p=collections/controlcard&id=2766,6,5,0:04:45,0,0.00%,33.33%,$0.00 
/?p=collections/controlcard&id=2767,2,2,0:13:02,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2771,5,4,0:17:39,3,100.00%,60.00%,$0.00 
/?p=collections/controlcard&id=2774,3,3,0:10:00,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2776,2,2,0:04:01,0,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2779,3,2,0:08:16,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2781,5,4,0:00:09,0,0.00%,40.00%,$0.00 
/?p=collections/controlcard&id=2785,2,1,0:00:58,0,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2788,4,4,0:00:15,0,0.00%,25.00%,$0.00 
/?p=collections/controlcard&id=2791,2,2,0:00:02,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2795,3,3,0:00:15,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2798,6,4,0:03:35,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2799,6,3,0:04:19,1,100.00%,16.67%,$0.00 
/?p=collections/controlcard&id=2801,4,2,0:02:31,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2802,4,2,0:01:31,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2803,3,2,0:00:23,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2806,2,1,0:00:21,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2808,2,1,0:02:25,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2809,35,28,0:02:56,7,57.14%,37.14%,$0.00 
/?p=collections/controlcard&id=2818,2,1,0:01:00,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2820,2,1,0:01:09,1,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2822,2,2,0:00:09,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2827,5,3,0:00:32,2,0.00%,20.00%,$0.00 
/?p=collections/controlcard&id=2833,3,2,0:01:39,1,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2834,17,14,0:05:14,0,0.00%,29.41%,$0.00 
/?p=collections/controlcard&id=2844,2,2,0:02:35,1,100.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2845,9,6,0:01:00,6,50.00%,55.56%,$0.00 
/?p=collections/controlcard&id=2851,5,4,0:09:39,0,0.00%,60.00%,$0.00 
/?p=collections/controlcard&id=2852,7,3,0:01:17,1,0.00%,14.29%,$0.00 
/?p=collections/controlcard&id=2857,4,2,0:00:07,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2862,3,2,0:00:50,1,100.00%,33.33%,$0.00 
/?p=collections/controlcard&id=2864,2,2,0:02:13,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2868,2,2,0:02:19,1,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2869,2,2,0:00:09,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2875,4,2,0:00:04,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2877,2,1,0:00:19,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2878,16,11,0:00:23,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=288,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=2883,3,2,0:00:29,2,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2889,180,137,0:02:12,5,80.00%,26.11%,$0.00 
/?p=collections/controlcard&id=2893,2,1,0:00:15,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2911,2,2,0:00:43,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2912,2,1,0:01:24,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2921,2,1,0:00:14,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2922,16,5,0:01:06,0,0.00%,12.50%,$0.00 
/?p=collections/controlcard&id=2923,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=2926,2,1,0:00:17,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2931,6,4,0:00:51,0,0.00%,16.67%,$0.00 
/?p=collections/controlcard&id=2932,2,2,0:01:03,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=2935,2,2,0:23:19,1,100.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2937,10,10,0:00:38,8,87.50%,70.00%,$0.00 
/?p=collections/controlcard&id=2938,18,15,0:05:00,1,100.00%,55.56%,$0.00 
/?p=collections/controlcard&id=2939,2,2,0:03:20,0,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=2942,8,5,0:02:25,1,100.00%,12.50%,$0.00 
/?p=collections/controlcard&id=2946,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=2949,4,3,0:00:18,3,66.67%,50.00%,$0.00 
/?p=collections/controlcard&id=2956,5,4,0:00:49,2,100.00%,40.00%,$0.00 
/?p=collections/controlcard&id=329,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/controlcard&id=333,3,3,0:00:16,3,66.67%,66.67%,$0.00 
/?p=collections/controlcard&id=385,3,1,0:00:12,1,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=50,72,62,0:02:04,4,0.00%,27.78%,$0.00 
/?p=collections/controlcard&id=731,2,1,0:00:14,1,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=79,7,6,0:00:16,0,0.00%,28.57%,$0.00 
/?p=collections/controlcard&id=82,27,22,0:02:03,0,0.00%,22.22%,$0.00 
/?p=collections/controlcard&id=86,3,2,0:01:19,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=88,2,1,0:02:34,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=92,3,2,0:00:09,0,0.00%,0.00%,$0.00 
/?p=collections/controlcard&id=938,2,1,0:04:43,1,0.00%,50.00%,$0.00 
/?p=collections/controlcard&id=94,2,2,0:00:26,2,50.00%,50.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2622&q=&rootcontentid=59429,5,2,0:00:21,2,50.00%,40.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2625&rootcontentid=57554,2,1,0:00:11,0,0.00%,50.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2668&q=&rootcontentid=125416,2,1,0:00:35,1,0.00%,0.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2763&q=&rootcontentid=81781,4,2,0:00:25,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2763&rootcontentid=81781,4,2,0:00:24,0,0.00%,0.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2809&q=&rootcontentid=160253,3,1,0:00:13,0,0.00%,0.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2834&rootcontentid=94892,3,1,0:06:16,1,0.00%,0.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2852&q=,2,1,0:00:09,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2915&q=&rootcontentid=118462,2,1,0:00:20,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7217,3,2,0:00:39,1,100.00%,66.67%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7219,3,2,0:00:34,1,0.00%,33.33%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7220,2,1,0:00:46,0,0.00%,0.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7222,5,3,0:03:14,1,0.00%,20.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7223,5,3,0:01:21,0,0.00%,0.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7217,3,1,0:00:15,1,0.00%,33.33%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7218,3,1,0:01:00,1,0.00%,33.33%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7220,5,3,0:00:28,3,33.33%,40.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7221,4,4,0:00:00,4,100.00%,100.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7222,7,5,0:00:36,4,25.00%,28.57%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7223,6,4,0:00:39,4,50.00%,66.67%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7224,9,4,0:00:29,3,33.33%,44.44%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7225,2,1,0:00:26,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=82&rootcontentid=14589,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=89&q=&rootcontentid=41859,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=89&rootcontentid=37289,8,3,0:00:38,1,0.00%,12.50%,$0.00 
/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/research&f=cart&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2809&q=&rootcontentid=160253,2,1,0:01:26,0,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2622&q=&rootcontentid=59429,2,2,0:00:00,1,100.00%,100.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2731&q=&rootcontentid=93482,2,2,0:00:17,1,100.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2758&q=&rootcontentid=122946,2,1,0:03:10,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2833&q=&rootcontentid=87675,2,2,0:00:18,2,50.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7218,3,1,0:01:52,1,0.00%,33.33%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7219,2,1,0:02:55,0,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7220,2,1,0:04:12,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7220,2,1,0:05:08,1,0.00%,0.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&rootcontentid=7222,2,2,0:08:05,2,50.00%,50.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2889&rootcontentid=131289,2,1,0:00:12,0,0.00%,0.00%,$0.00 
/?p=collections/research&f=email&referer=archivedb.carleton.edu/?p=core/contact&f=email&referer=archivedb.carleton.edu/,5,1,0:01:22,0,0.00%,0.00%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2622&q=&rootcontentid=160215,2,1,0:03:47,0,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2827&q=&rootcontentid=85581,2,1,0:01:24,1,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2833&q=&rootcontentid=87493,2,2,0:00:00,1,100.00%,100.00%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2833&q=&rootcontentid=87675,3,3,0:00:30,3,66.67%,66.67%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=2889&rootcontentid=131289,6,1,0:00:43,0,0.00%,16.67%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&disabletheme=1,2,1,0:04:39,0,0.00%,50.00%,$0.00 
/?p=collections/research&f=email&repositoryid=1&referer=archivedb.carleton.edu/?p=collections/findingaid&id=50&q=&rootcontentid=7216,10,2,0:02:49,1,0.00%,0.00%,$0.00 
/?p=core/contact&f=email&referer=archivedb.carleton.edu/,7,2,0:00:10,0,0.00%,0.00%,$0.00 
/?p=core/contact&f=email&referer=archivedb.carleton.edu/?p=collections/findingaid&id=82&q=&rootcontentid=14589,4,1,0:04:41,1,0.00%,25.00%,$0.00 
/?p=core/contact&f=email&referer=archivedb.carleton.edu/?p=creators/creators,2,1,0:00:13,0,0.00%,50.00%,$0.00 
/?p=core/contact&f=email&referer=archivedb.carleton.edu/?p=digitallibrary/digitalcontent&id=11,2,1,0:00:10,0,0.00%,0.00%,$0.00 
/?p=core/register,17,17,0:01:05,3,0.00%,0.00%,$0.00 
/?p=core/search&collectioncontentid=11286,3,2,0:00:06,2,0.00%,33.33%,$0.00 
/?p=core/search&collectioncontentid=14171,2,1,0:00:09,0,0.00%,0.00%,$0.00 
/?p=core/search&collectioncontentid=8917,2,2,0:00:06,1,0.00%,0.00%,$0.00 
/?p=core/search&collectioncontentid=9025,3,2,0:00:07,2,50.00%,66.67%,$0.00 
/?p=core/search&collectionid=2622,3,2,0:00:11,2,50.00%,66.67%,$0.00 
/?p=core/search&collectionid=2748,6,4,0:00:14,1,100.00%,33.33%,$0.00 
/?p=core/search&collectionid=2809,2,2,0:00:21,0,0.00%,0.00%,$0.00 
/?p=core/search&collectionid=2889,5,4,0:00:26,0,0.00%,20.00%,$0.00 
/?p=core/search&collectionid=50,72,52,0:00:31,34,23.53%,30.56%,$0.00 
/?p=core/search&collectionid=82,8,6,0:00:51,6,33.33%,25.00%,$0.00 
/?p=core/search&collectionid=89,13,7,0:00:52,7,14.29%,15.38%,$0.00 
/?p=creators/creator&id=1256,3,3,0:02:22,0,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1267,2,1,0:00:08,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1274,8,4,0:04:48,4,25.00%,50.00%,$0.00 
/?p=creators/creator&id=1286,5,1,0:01:19,1,0.00%,20.00%,$0.00 
/?p=creators/creator&id=1288,2,1,0:00:09,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1290,4,2,0:00:09,0,0.00%,25.00%,$0.00 
/?p=creators/creator&id=1305,3,2,0:01:32,2,50.00%,66.67%,$0.00 
/?p=creators/creator&id=1311,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=creators/creator&id=1321,2,1,0:01:04,1,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1322,2,1,0:00:03,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1337,3,2,0:00:08,1,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1347,2,1,0:00:14,1,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1349,2,1,0:00:11,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1350,3,2,0:00:12,1,0.00%,66.67%,$0.00 
/?p=creators/creator&id=1351,3,2,0:03:55,0,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1353,2,2,0:00:16,0,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1368,2,1,0:13:33,1,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1374,4,3,0:00:35,1,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1376,2,1,0:00:14,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1377,4,3,0:00:11,3,33.33%,50.00%,$0.00 
/?p=creators/creator&id=1390,6,3,0:00:11,3,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1394,3,2,0:00:06,2,50.00%,66.67%,$0.00 
/?p=creators/creator&id=1429,2,1,0:00:11,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1436,3,2,0:00:07,1,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1441,8,1,0:02:41,1,0.00%,12.50%,$0.00 
/?p=creators/creator&id=1443,2,1,0:00:10,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1449,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=creators/creator&id=1469,3,3,0:00:31,2,100.00%,66.67%,$0.00 
/?p=creators/creator&id=1472,3,3,0:00:12,2,100.00%,66.67%,$0.00 
/?p=creators/creator&id=1498,2,1,0:00:12,0,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1510,3,1,0:00:36,1,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1531,3,2,0:00:30,1,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1557,11,7,0:00:58,7,14.29%,27.27%,$0.00 
/?p=creators/creator&id=1567,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=creators/creator&id=1572,2,1,0:00:32,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1576,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=creators/creator&id=1579,5,2,0:01:17,2,0.00%,40.00%,$0.00 
/?p=creators/creator&id=1581,7,5,0:00:48,5,60.00%,57.14%,$0.00 
/?p=creators/creator&id=1600,10,6,0:02:07,6,0.00%,30.00%,$0.00 
/?p=creators/creator&id=1611,4,4,0:00:18,4,75.00%,75.00%,$0.00 
/?p=creators/creator&id=1622,3,3,0:14:24,3,33.33%,33.33%,$0.00 
/?p=creators/creator&id=1628,3,2,0:00:13,2,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1631,3,1,0:00:12,1,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1640,10,3,0:00:12,3,33.33%,30.00%,$0.00 
/?p=creators/creator&id=1653,2,1,0:00:29,1,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1670,7,4,0:00:19,4,25.00%,42.86%,$0.00 
/?p=creators/creator&id=1676,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/?p=creators/creator&id=1708,2,2,0:01:21,2,50.00%,50.00%,$0.00 
/?p=creators/creator&id=1721,12,8,0:00:15,7,42.86%,50.00%,$0.00 
/?p=creators/creator&id=1725,3,2,0:00:17,2,0.00%,33.33%,$0.00 
/?p=creators/creator&id=1726,2,1,0:00:11,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1728,3,3,0:01:03,3,66.67%,66.67%,$0.00 
/?p=creators/creator&id=1731,2,1,0:00:47,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1735,3,2,0:02:07,2,50.00%,66.67%,$0.00 
/?p=creators/creator&id=1742,5,1,0:00:36,1,0.00%,20.00%,$0.00 
/?p=creators/creator&id=1782,4,3,0:00:48,1,0.00%,25.00%,$0.00 
/?p=creators/creator&id=1807,2,2,0:04:04,0,0.00%,0.00%,$0.00 
/?p=creators/creator&id=1825,2,2,0:00:07,2,50.00%,50.00%,$0.00 
/?p=creators/creator&id=1827,3,2,0:06:31,2,50.00%,66.67%,$0.00 
/?p=creators/creator&id=1841,2,1,0:00:08,0,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1847,2,2,0:01:29,2,50.00%,50.00%,$0.00 
/?p=creators/creator&id=1863,2,1,0:00:09,1,0.00%,50.00%,$0.00 
/?p=creators/creator&id=1870,2,1,0:00:48,1,0.00%,50.00%,$0.00 
